Seed,NumberOfData,Time in milliseconds,,Seed,NumberOfData,TimeInMilliseconds,,Seed,NumberOfData,TimeInMilliseconds,,Seed,NumberOfData,TimeInMilliseconds,,Seed,NumberOfData,TimeInMilliseconds,,Seed,NumberOfData,TimeInMilliseconds
1,1,0,,1,1,0,,1,1,0,,1,1,8,,1,1,0,,1,1,0
100001,100001,482,,100001,100001,17,,1001,1001,18,,1001,1001,5,,1001,1001,21,,1001,1001,10
200001,200001,2193,,200001,200001,14,,2001,2001,24,,2001,2001,9,,2001,2001,15,,2001,2001,6
300001,300001,5031,,300001,300001,16,,3001,3001,16,,3001,3001,14,,3001,3001,48,,3001,3001,16
400001,400001,9144,,400001,400001,19,,4001,4001,17,,4001,4001,25,,4001,4001,32,,4001,4001,26
500001,500001,14468,,500001,500001,23,,5001,5001,24,,5001,5001,35,,5001,5001,49,,5001,5001,38
600001,600001,21216,,600001,600001,28,,6001,6001,34,,6001,6001,55,,6001,6001,67,,6001,6001,55
700001,700001,29332,,700001,700001,106,,7001,7001,44,,7001,7001,75,,7001,7001,91,,7001,7001,74
800001,800001,44179,,800001,800001,30,,8001,8001,57,,8001,8001,95,,8001,8001,117,,8001,8001,95
900001,900001,62285,,900001,900001,27,,9001,9001,73,,9001,9001,133,,9001,9001,146,,9001,9001,123
1000001,1000001,78898,,1000001,1000001,29,,10001,10001,88,,10001,10001,163,,10001,10001,179,,10001,10001,148
1100001,1100001,95379,,1100001,1100001,36,,11001,11001,108,,11001,11001,201,,11001,11001,216,,11001,11001,180
1200001,1200001,128165,,1200001,1200001,161,,12001,12001,124,,12001,12001,239,,12001,12001,258,,12001,12001,215
1300001,1300001,156365,,1300001,1300001,41,,13001,13001,151,,13001,13001,244,,13001,13001,306,,13001,13001,256
1400001,1400001,202914,,1400001,1400001,48,,14001,14001,175,,14001,14001,323,,14001,14001,354,,14001,14001,292
1500001,1500001,253938,,1500001,1500001,40,,15001,15001,199,,15001,15001,367,,15001,15001,413,,15001,15001,336
1600001,1600001,304466,,1600001,1600001,55,,16001,16001,228,,16001,16001,417,,16001,16001,472,,16001,16001,397